Rank,Player,Age,Team,Pos,RBS,AST,STL,BLK,PTS
262,Bones Hyland,23,LAC,PG,1.5,2.5,0.7,0.1,6.9
263,Mãozinha Pereira,23,MEM,SF,5.3,0.3,0.9,0.6,6.9
264,Trendon Watford,23,BRK,PF,3.1,1.3,0.4,0.3,6.9
265,Aaron Wiggins,25,OKC,SG,2.4,1.1,0.7,0.2,6.9
266,Christian Wood,28,LAL,PF,5.1,1,0.3,0.7,6.9
267,Trey Jemison,24,2TM,C,5.4,1.1,0.5,1.1,6.8
268,Julian Champagnie,22,SAS,SF,2.8,1.4,0.6,0.6,6.8
269,Jonathan Isaac,26,ORL,PF,4.5,0.5,0.7,1.2,6.8
270,Cedi Osman,28,SAS,SF,2.5,1.7,0.5,0.2,6.8
271,Day'Ron Sharpe,22,BRK,C,6.4,1.4,0.4,0.7,6.8
272,Cason Wallace,20,OKC,SG,2.3,1.5,0.9,0.5,6.8
273,Robert Williams,26,POR,C,6.3,0.8,1.2,1.2,6.8
274,Dāvis Bertāns,31,2TM,PF,1.4,0.8,0.6,0.3,6.7
275,Jahmi'us Ramsey,22,TOR,SG,3.1,1.1,1,0,6.7
276,Peyton Watson,21,DEN,SF,3.2,1.1,0.5,1.1,6.7
277,Amir Coffey,26,LAC,SF,2.1,1.1,0.6,0.2,6.6
278,Aaron Holiday,27,HOU,PG,1.6,1.8,0.5,0.1,6.6
279,Dennis Smith Jr.,26,BRK,PG,2.9,3.6,1.2,0.2,6.6
280,Chimezie Metu,26,2TM,C,3.8,0.9,0.8,0.3,6.5
281,Jordan Goodwin,25,2TM,PG,4.4,2.7,0.8,0.3,6.5
282,David Roddy,22,2TM,PF,3.2,1.2,0.4,0.2,6.5
283,David Duke Jr.,24,SAS,SG,2.5,1.3,0.5,0,6.5
284,Jeff Green,37,HOU,PF,2.3,0.9,0.2,0.4,6.5
285,Isaiah Jackson,22,IND,C,4,0.8,0.6,1,6.5
286,Marcus Morris,34,2TM,PF,2.7,0.7,0.3,0.3,6.4
287,Kyle Anderson,30,MIN,PF,3.5,4.2,0.9,0.6,6.4
288,Chris Boucher,31,TOR,PF,4.1,0.5,0.3,0.5,6.4
289,Jared Butler,23,WAS,SG,1.5,3.2,0.7,0.2,6.3
290,Bruno Fernando,25,ATL,C,4.3,1,0.6,0.6,6.3
291,Daniel Theis,31,2TM,C,4.1,1,0.4,0.9,6.3
292,Jaylen Nowell,24,2TM,SG,1.8,1.5,0.3,0.2,6.2
293,Patrick Beverley,35,2TM,PG,3.3,2.9,0.6,0.4,6.2
294,Jae Crowder,33,MIL,PF,3.2,1.3,0.8,0.2,6.2
295,Keon Johnson,21,BRK,SG,1.4,0.6,0.6,0.2,6.2
296,Haywood Highsmith,27,MIA,PF,3.2,1.1,0.8,0.5,6.1
297,Vit Krejci,23,ATL,PG,2.4,2.3,0.6,0.3,6.1
298,Kris Murray,23,POR,SF,3.6,1.3,0.9,0.3,6.1
299,Ben Simmons,27,BRK,PG,7.9,5.7,0.8,0.6,6.1
300,Zavier Simpson,26,MEM,PG,2.9,3.6,1,0.4,6
301,Tosan Evbuomwan,22,2TM,SF,3.5,0.9,0.4,0.3,5.9
302,Justin Champagnie,22,WAS,SF,3.5,1.3,0.7,0.6,5.9
303,Nick Smith Jr.,19,CHO,SG,1.4,1.2,0.2,0.1,5.9
304,Ochai Agbaji,23,2TM,SG,2.8,1.1,0.6,0.6,5.8
305,Noah Clowney,19,BRK,PF,3.5,0.8,0.3,0.7,5.8
306,Dyson Daniels,20,NOP,PG,3.9,2.7,1.4,0.4,5.8
307,Danilo Gallinari,35,3TM,SF,2.2,1.1,0.3,0.1,5.7
308,Thomas Bryant,26,MIA,C,3.7,0.6,0.3,0.4,5.7
309,Torrey Craig,33,CHI,SF,4.1,1.1,0.6,0.4,5.7
310,Larry Nance Jr.,31,NOP,C,5,1.9,1,0.3,5.7
311,Pat Connaughton,31,MIL,SF,3.1,2.1,0.5,0.3,5.6
312,Craig Porter Jr.,23,CLE,PG,2.1,2.3,0.4,0.3,5.6
313,Mitchell Robinson,25,NYK,C,8.5,0.6,1.2,1.1,5.6
314,Malachi Flynn,25,3TM,PG,1.7,1.9,0.6,0.1,5.5
315,Doug McDermott,32,2TM,SF,0.9,1.1,0.3,0,5.5
316,Dexter Dennis,24,DAL,SG,2.3,1,0,0.3,5.5
317,Gary Payton II,31,GSW,SG,2.6,1.1,0.9,0.4,5.5
318,Neemias Queta,24,BOS,C,4.4,0.7,0.5,0.8,5.5
319,Ricky Council IV,22,PHI,SG,1.4,0.5,0.3,0,5.4
320,Kris Dunn,29,UTA,PG,2.9,3.8,1,0.4,5.4
321,Keon Ellis,24,SAC,SG,2.2,1.5,0.9,0.5,5.4
322,Cam Reddish,24,LAL,SF,2.1,1,1,0.3,5.4
323,Matt Ryan,26,NOP,SF,1.4,0.6,0.2,0,5.4
324,Matisse Thybulle,26,POR,SF,2.1,1.4,1.7,0.8,5.4
325,Sasha Vezenkov,28,SAC,PF,2.3,0.5,0.5,0.2,5.4
326,Dean Wade,27,CLE,PF,4,0.8,0.7,0.5,5.4
327,Darius Bazley,23,2TM,PF,3.1,0.8,0.7,0.8,5.3
328,Xavier Tillman Sr.,25,2TM,PF,3.9,1.4,0.9,0.8,5.3
329,Nicolas Batum,35,2TM,PF,4.1,2.1,0.8,0.6,5.3
330,Luke Kornet,28,BOS,C,4.1,1.1,0.4,1,5.3
331,Davion Mitchell,25,SAC,PG,1.3,1.9,0.2,0,5.3
332,Mason Plumlee,33,LAC,C,5.1,1.2,0.3,0.4,5.3
333,Stanley Umude,24,DET,SG,2.1,0.5,0.3,0.3,5.3
334,Aleksej Pokusevski,22,2TM,PF,3.2,1.3,0.5,0.5,5.2
335,Bol Bol,24,PHO,PF,3.2,0.4,0.2,0.6,5.2
336,Brandon Boston Jr.,22,LAC,SF,1.6,0.4,0.3,0.3,5.2
337,Jarred Vanderbilt,24,LAL,PF,4.8,1.2,1.2,0.2,5.2
338,Seth Curry,33,2TM,SG,1.5,1,0.5,0.1,5.1
339,Drew Eubanks,26,PHO,C,4.3,0.8,0.4,0.8,5.1
340,Bryce McGowens,21,CHO,SG,1.7,0.9,0.4,0.2,5.1
341,Richaun Holmes,30,2TM,C,4.6,0.6,0.3,0.5,5
342,Monte Morris,28,2TM,PG,1.7,2.1,0.6,0.3,5
343,Goga Bitadze,24,ORL,C,4.6,1.3,0.5,1.2,5
344,Jevon Carter,28,CHI,PG,0.8,1.3,0.5,0.2,5
345,Devonte' Graham,28,SAS,PG,1.6,2.1,0.4,0.1,5
346,Isaiah Livers,25,DET,PF,2.1,1.1,0.6,0.2,5
347,Kobi Simmons,26,TOR,PG,1.8,3,1.5,0.5,5
348,D.J. Wilson,27,PHI,PF,1,1,0,1,5
349,Jalen Wilson,23,BRK,PF,3,1,0.3,0.1,5
350,Jock Landale,28,HOU,C,3.1,1.2,0.4,0.6,4.9
351,Garrison Mathews,27,ATL,SG,1.4,0.6,0.3,0.1,4.9
352,Jared Rhoden,24,DET,SG,1.9,0.8,0.2,0.8,4.9
353,Kobe Bufkin,20,ATL,SG,1.9,1.6,0.4,0.3,4.8
354,DeJon Jarreau,26,MEM,SG,4.9,2.9,0.7,0.2,4.8
355,Eugene Omoruyi,26,WAS,SF,2,0.8,0.6,0.1,4.8
356,Kenrich Williams,29,OKC,PF,3,1.3,0.6,0.1,4.7
357,Kenneth Lofton Jr.,21,3TM,PF,1.8,1.6,0.3,0.2,4.6
358,Anthony Black,20,ORL,PG,2,1.3,0.5,0.3,4.6
359,Josh Okogie,25,PHO,SG,2.6,1.1,0.8,0.4,4.6
360,Omer Yurtseven,25,UTA,C,4.3,0.6,0.2,0.4,4.6
361,Shake Milton,27,3TM,SG,1.6,1.3,0.4,0.1,4.5
362,Delon Wright,31,2TM,PG,1.8,2.5,1.1,0.2,4.5
363,A.J. Green,24,MIL,SG,1.1,0.5,0.2,0.1,4.5
364,Kevon Looney,27,GSW,C,5.7,1.8,0.4,0.4,4.5
365,Taze Moore,25,POR,SG,2,1.3,0.5,0,4.5
366,Julian Strawther,21,DEN,SF,1.2,0.9,0.3,0.1,4.5
367,Bismack Biyombo,31,2TM,C,5.2,1.3,0.3,0.9,4.4
368,Robert Covington,33,2TM,PF,3.3,0.8,1.3,0.6,4.4
369,Patrick Baldwin Jr.,21,WAS,SF,3.2,0.8,0.5,0.4,4.4
370,Mo Bamba,25,PHI,C,4.2,0.7,0.4,1.1,4.4
371,Dominick Barlow,20,SAS,PF,3.4,1.1,0.4,0.4,4.4
372,MarJon Beauchamp,23,MIL,SF,2.1,0.6,0.3,0.1,4.4
373,Joe Ingles,36,ORL,SF,2.1,3,0.6,0.1,4.4
374,Maxi Kleber,32,DAL,C,3.3,1.6,0.4,0.7,4.4
375,Jontay Porter,24,TOR,PF,3.2,2.3,0.8,0.8,4.4
376,Lester Quiñones,23,GSW,SG,1.9,1,0.2,0.1,4.4
377,Ben Sheppard,22,IND,SG,1.6,0.9,0.6,0,4.4
378,Blake Wesley,20,SAS,SG,1.5,2.7,0.5,0.1,4.4
379,Jeff Dowtin,26,PHI,PG,1.7,2.3,0.6,0.1,4.3
380,Jaxson Hayes,23,LAL,C,3,0.5,0.5,0.4,4.3
381,Caleb Houstan,21,ORL,SF,1.4,0.5,0.3,0.1,4.3
382,John Konchar,27,MEM,SF,4.7,2,0.9,0.9,4.3
383,Dru Smith,26,MIA,SG,1.6,1.6,1,0.3,4.3
384,Thaddeus Young,35,2TM,PF,3.1,1.7,0.7,0.2,4.2
385,Jacob Gilyard,25,2TM,PG,1.1,3.3,0.8,0.1,4.2
386,Armoni Brooks,25,BRK,PG,1.8,0.5,0.1,0.1,4.2
387,Troy Brown Jr.,24,2TM,SF,2.4,1,0.4,0.1,4.2
388,Max Christie,20,LAL,SG,2.1,0.9,0.3,0.3,4.2
389,Ashton Hagans,24,POR,PG,2.4,2.8,0.6,0.5,4.2
390,Danuel House Jr.,30,PHI,SF,1.7,0.8,0.4,0.1,4.2
391,Skylar Mays,26,2TM,SG,1.1,2.2,0.6,0.1,4.1
392,Sandro Mamukelashvili,24,SAS,C,3.2,1.1,0.2,0.3,4.1
393,Luka Šamanić,24,UTA,PF,2.4,0.4,0.1,0.2,4.1
394,Jae'Sean Tate,28,HOU,SF,3,1,0.6,0.2,4.1
395,Patty Mills,35,2TM,PG,1.1,1.1,0.6,0,4
396,Izaiah Brockington,24,NOP,PG,2,0,0,0,4
397,Ousmane Dieng,20,OKC,PF,1.5,1.1,0.2,0.2,4
398,Luka Garza,25,MIN,C,1.2,0.2,0.2,0,4
399,Mouhamed Gueye,21,ATL,PF,3.7,0.7,0.8,0.7,4
400,Justin Holiday,34,DEN,SG,1.2,1.2,0.6,0.2,4
401,Matthew Hurt,23,MEM,PF,2,0.5,0.4,0.4,4
402,JaVale McGee,36,SAC,C,2.7,0.4,0.3,0.4,4
403,Svi Mykhailiuk,26,BOS,SF,1.2,0.9,0.3,0,4
404,Rayan Rupert,19,POR,SG,2.4,1.6,0.3,0.1,4
405,Adama Sanogo,21,CHI,PF,4,0,0.1,0,4
